isp-api  | [REQ] POST /v1/admin/catalogos/motivos_reagenda/items rid=a30bf67d-291a-4e0d-8fb9-69ef104e1ce3
isp-api  | [RES] POST /v1/admin/catalogos/motivos_reagenda/items -> 201 4.6ms rid=a30bf67d-291a-4e0d-8fb9-69ef104e1ce3
isp-api  | [REQ] GET /v1/materiales rid=5e22c0ed-2eb8-4699-95e5-dbb8be00e2a9
isp-api  | [RES] GET /v1/materiales -> 200 3.1ms rid=5e22c0ed-2eb8-4699-95e5-dbb8be00e2a9
isp-api  | [REQ] POST /v1/agenda/ordenes/MAN-20250919181343/asignar rid=fd7812ae-eb2f-48dc-849b-c972baa65197
isp-api  | [32m[Nest] 1  - [39m09/19/2025, 11:13:43 PM [32m    LOG[39m [38;5;3m[AgendaService] [39m[32m[ASIGNAR] MAN-20250919181343 -> {"ok":true,"orden":[{"codigo":"MAN-20250919181343","estado":"agendada","agendadoPara":"2025-09-19","turno":"am","agendadaAt":"2025-09-19T23:13:43.924Z","tecnicoId":"a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec"}]}[39m
isp-api  | [RES] POST /v1/agenda/ordenes/MAN-20250919181343/asignar -> 200 4.4ms rid=fd7812ae-eb2f-48dc-849b-c972baa65197
isp-api  | [REQ] GET /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/pendientes rid=38788b52-3e7b-4199-a392-923e84718fde
isp-api  | [RES] GET /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/pendientes -> 200 4.8ms rid=38788b52-3e7b-4199-a392-923e84718fde
isp-api  | [REQ] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/MAN-20250919181343/iniciar rid=c299fbec-717b-47ff-b03e-513dab0a8512
isp-api  | [RES] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/MAN-20250919181343/iniciar -> 200 6.5ms rid=c299fbec-717b-47ff-b03e-513dab0a8512
isp-api  | [REQ] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/MAN-20250919181343/cerrar rid=79b7bf4f-f49f-4b23-9cd5-30e9c5167ce9
isp-api  | [RES] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/MAN-20250919181343/cerrar -> 200 14.1ms rid=79b7bf4f-f49f-4b23-9cd5-30e9c5167ce9
isp-api  | [REQ] GET /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/pendientes rid=af7b274e-cd4e-49e4-9cf0-041c8f81cb09
isp-api  | [RES] GET /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/pendientes -> 200 6.8ms rid=af7b274e-cd4e-49e4-9cf0-041c8f81cb09
isp-api  | [REQ] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/TEK-20250919181345/iniciar rid=3d82c95b-1d6c-48f8-b340-eeeceaf805dc
isp-api  | [RES] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/TEK-20250919181345/iniciar -> 200 5.4ms rid=3d82c95b-1d6c-48f8-b340-eeeceaf805dc
isp-api  | [REQ] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/TEK-20250919181345/cerrar rid=c8d2eded-b994-4912-893c-e91f21a1844b
isp-api  | [RES] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/TEK-20250919181345/cerrar -> 200 5.2ms rid=c8d2eded-b994-4912-893c-e91f21a1844b
isp-api  | [REQ] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/IDEM-20250919231346/cerrar rid=9ff0591c-8c9e-4bee-b3ec-caa66c656253
isp-api  | [RES] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/IDEM-20250919231346/cerrar -> 403 1.2ms rid=9ff0591c-8c9e-4bee-b3ec-caa66c656253
isp-api  | [REQ] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/IDEM-20250919231346/cerrar rid=829e95ff-d08d-49b5-b437-808a01af122d
isp-api  | [RES] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/IDEM-20250919231346/cerrar -> 403 0.8ms rid=829e95ff-d08d-49b5-b437-808a01af122d
